NODAL DISPLACEMENTS: 
NODES             U             V           THETA 
0           0.000000e+00  0.000000e+00  -1.314715e-02 
1           1.813315e-04  -5.095903e-02  -1.169466e-02 
2           -9.726942e-03  -5.088300e-02  -1.141739e-02 
3           2.593185e-04  -1.010762e-01  -8.175430e-03 
4           -1.731916e-02  -1.007461e-01  -8.010798e-03 
5           8.877701e-05  -1.521937e-01  -5.161352e-03 
6           -2.098485e-02  -1.513490e-01  -4.717383e-03 
7           -8.318187e-06  -1.773268e-01  -4.514036e-03 
8           -2.614220e-05  -1.969174e-01  -3.622482e-03 
9           -2.050521e-02  -1.958968e-01  -3.703403e-03 
10           -4.381004e-05  -2.141213e-01  -3.086932e-03 
11           -4.327467e-05  -2.275838e-01  -2.428502e-03 
12           -1.665281e-02  -2.264975e-01  -2.359789e-03 
13           -4.258102e-05  -2.386747e-01  -1.939029e-03 
14           -3.280963e-05  -2.468884e-01  -1.399277e-03 
15           -1.073485e-02  -2.457523e-01  -1.377604e-03 
16           -2.298551e-05  -2.527987e-01  -9.418627e-04 
17           -1.030552e-05  -2.562634e-01  -4.585312e-04 
18           -3.696887e-03  -2.551052e-01  -4.470343e-04 
19           2.392031e-06  -2.574238e-01  -1.824829e-07 
20           1.508978e-05  -2.562653e-01  4.581644e-04 
21           3.698760e-03  -2.551070e-01  4.466770e-04 
22           2.776998e-05  -2.528023e-01  9.414939e-04 
23           3.759337e-05  -2.468939e-01  1.398915e-03 
24           1.073688e-02  -2.457578e-01  1.377189e-03 
25           4.736398e-05  -2.386819e-01  1.938674e-03 
26           4.806110e-05  -2.275929e-01  2.428119e-03 
27           1.665512e-02  -2.265066e-01  2.359636e-03 
28           4.860017e-05  -2.141324e-01  3.086514e-03 
29           3.091348e-05  -1.969304e-01  3.622165e-03 
30           2.050803e-02  -1.959099e-01  3.702111e-03 
31           1.306913e-05  -1.773406e-01  4.514122e-03 
32           -8.406595e-05  -1.522127e-01  5.157606e-03 
33           2.098817e-02  -1.513658e-01  4.720618e-03 
34           -2.546741e-04  -1.010837e-01  8.194655e-03 
35           1.732053e-02  -1.007571e-01  7.999952e-03 
36           -1.790018e-04  -5.087443e-02  1.168805e-02 
37           9.737378e-03  -5.093727e-02  1.142640e-02 
38           0.000000e+00  0.000000e+00  1.314060e-02 
ELEMENT STRESS: 
ELEMENT             N1             T1           M1              N2             T2           M2
0           -6.014198e+05  2.267413e+05  7.777030e+04  6.014198e+05  -2.267393e+05  8.291909e+05
1           -9.576912e+06  1.726972e+05  -7.777030e+04  9.576911e+06  -1.726952e+05  7.900671e+05
2           2.047356e+05  -3.944929e+05  -2.046271e+05  -2.047357e+05  3.944929e+05  -1.922328e+05
3           -2.069269e+05  4.147494e+04  -6.245637e+05  2.069269e+05  -4.147246e+04  8.319323e+05
4           5.863777e+04  2.452989e+03  -8.037550e+03  -5.863767e+04  -2.452482e+03  2.054699e+04
5           -9.962478e+06  3.778678e+04  -5.897968e+05  9.962477e+06  -3.778430e+04  7.837252e+05
6           4.132355e+05  1.674524e+03  1.012530e+02  -4.132357e+05  -1.674524e+03  3.522417e+03
7           2.661802e+05  -1.102552e+05  -8.354820e+05  -2.661802e+05  1.102594e+05  -1.017053e+05
8           -4.585109e+05  -1.878406e+03  -1.709855e+04  4.585105e+05  1.879267e+03  -4.613907e+02
9           -9.873916e+06  -9.093609e+04  -7.872477e+05  9.873915e+06  9.094030e+04  -1.429736e+03
10           5.889035e+05  8.552609e+03  1.404888e+04  -5.889039e+05  -8.552609e+03  1.918656e+04
11           2.576276e+05  8.864411e+04  8.765644e+04  -2.576276e+05  -8.864163e+04  3.555579e+05
12           -2.656937e+05  4.397549e+03  1.320126e+04  2.656941e+05  -4.397043e+03  1.464476e+04
13           -1.002567e+07  1.441917e+04  -3.049670e+04  1.002567e+07  -1.441421e+04  1.765755e+05
14           4.729333e+04  -7.044933e+04  -3.606181e+05  -4.729333e+04  7.045181e+04  8.365237e+03
15           -1.085386e+03  -1.916452e+03  -9.584611e+03  1.084827e+03  1.916959e+03  -4.690716e+03
16           4.687896e+04  4.039485e+04  -9.838522e+03  -4.687896e+04  -4.039237e+04  2.118066e+05
17           5.008467e+05  4.143727e+02  1.473285e+03  -5.008472e+05  -4.143727e+02  8.140526e+02
18           -8.340093e+04  1.376464e+03  3.264118e+03  8.340149e+04  -1.375958e+03  6.985686e+03
19           -9.908628e+06  -7.535276e+03  -1.759630e+05  9.908628e+06  7.540235e+03  1.000284e+05
20           -1.420514e+03  -3.060141e+04  -2.127572e+05  1.420514e+03  3.060389e+04  5.974392e+04
21           -1.330494e+04  -9.739160e+02  -6.035114e+03  1.330426e+04  9.744223e+02  -2.138661e+03
