NODAL DISPLACEMENTS: 
NODES             U             V           THETA 
0           0.000000e+00  0.000000e+00  -1.180774e-02 
1           -3.974576e-07  -4.912088e-02  -1.007922e-02 
2           -3.974576e-07  -4.912088e-02  -1.007922e-02 
3           -3.974576e-07  -4.912088e-02  -1.007922e-02 
4           -7.894404e-07  -9.584427e-02  -7.571400e-03 
5           -7.894404e-07  -9.584427e-02  -7.571400e-03 
6           -7.894404e-07  -9.584427e-02  -7.571400e-03 
7           -1.463798e-06  -1.518497e-01  -4.596887e-03 
8           -1.463798e-06  -1.518497e-01  -4.596887e-03 
9           -1.463798e-06  -1.518497e-01  -4.596887e-03 
10           -1.861000e-06  -1.734151e-01  -3.512357e-03 
11           -2.282899e-06  -1.905126e-01  -2.900047e-03 
12           -2.282899e-06  -1.905126e-01  -2.900047e-03 
13           -2.282899e-06  -1.905126e-01  -2.900047e-03 
14           -2.692111e-06  -2.035303e-01  -2.235866e-03 
15           -3.115433e-06  -2.141295e-01  -1.749597e-03 
16           -3.115433e-06  -2.141295e-01  -1.749597e-03 
17           -3.115433e-06  -2.141295e-01  -1.749597e-03 
18           1.411418e-04  -2.215793e-01  -1.420808e-03 
19           6.490449e-06  -2.279626e-01  -1.148891e-03 
20           6.490449e-06  -2.279626e-01  -1.148891e-03 
21           6.490449e-06  -2.279626e-01  -1.148891e-03 
22           6.069854e-06  -2.323759e-01  -7.581325e-04 
23           5.645993e-06  -2.353747e-01  -3.983086e-04 
24           5.645993e-06  -2.353747e-01  -3.983086e-04 
25           5.645993e-06  -2.353747e-01  -3.983086e-04 
26           5.223143e-06  -2.362006e-01  -4.309083e-05 
27           4.800293e-06  -2.356905e-01  3.111573e-04 
28           4.800293e-06  -2.356905e-01  3.111573e-04 
29           4.800293e-06  -2.356905e-01  3.111573e-04 
30           4.376432e-06  -2.330179e-01  6.645329e-04 
31           3.955837e-06  -2.289607e-01  1.046065e-03 
32           3.955837e-06  -2.289607e-01  1.046065e-03 
33           3.955837e-06  -2.289607e-01  1.046065e-03 
34           3.531878e-06  -2.225371e-01  1.429600e-03 
35           3.115433e-06  -2.144954e-01  1.886617e-03 
36           3.115433e-06  -2.144954e-01  1.886617e-03 
37           3.115433e-06  -2.144954e-01  1.886617e-03 
38           2.692111e-06  -2.035536e-01  2.343596e-03 
39           2.282899e-06  -1.903059e-01  2.974457e-03 
40           2.282899e-06  -1.903059e-01  2.974457e-03 
41           2.282899e-06  -1.903059e-01  2.974457e-03 
42           1.861000e-06  -1.730446e-01  3.568133e-03 
43           1.463798e-06  -1.513972e-01  4.625805e-03 
44           1.463798e-06  -1.513972e-01  4.625805e-03 
45           1.463798e-06  -1.513972e-01  4.625805e-03 
46           7.894404e-07  -9.547495e-02  7.557034e-03 
47           7.894404e-07  -9.547495e-02  7.557034e-03 
48           7.894404e-07  -9.547495e-02  7.557034e-03 
49           3.974576e-07  -4.891659e-02  1.004266e-02 
50           3.974576e-07  -4.891659e-02  1.004266e-02 
51           3.974576e-07  -4.891659e-02  1.004266e-02 
52           0.000000e+00  0.000000e+00  1.175925e-02 
